Auflistung der Emissionsgrade:
Datum: 2021_11_05

Version: v1.2.0-3-gce8d1f4

Vergleichsgeräte für die Pyrometeranpassung: Pt100 Ada. Filz Innen

Emissionsrad ist 100 % - wenn keine Anpassung vorgenommen wird!

abs. Zeit      Zeit [s]       Emissionsgrad Py. Kw. [%]          
10:00:01       3603.6         50.0                               
10:00:04       3606.5         25.0                               
10:00:07       3609.2         37.5                               
10:00:09       3611.8         43.8                               
10:00:12       3614.5         40.7                               
10:00:15       3617.1         42.3                               
10:00:17       3619.7         43.1                               
10:00:20       3622.4         43.5                               
10:00:23       3625.0         43.3                               
10:00:25       3627.7         43.2                               
10:00:28       3630.3         43.2                               
10:00:31       3632.9         43.2                               
10:00:33       3635.6         43.2                               
10:00:36       3638.3         43.2                               
10:00:39       3640.9         43.2                               
10:00:41       3643.5         43.2                               
- - - Anpassung ist abgeschlossen! - 2021-11-05 10:05:01 - - -
10:10:03       4205.4         50.0                               
10:10:06       4208.1         25.0                               
10:10:08       4210.8         37.5                               
10:10:11       4213.6         43.8                               
10:10:14       4216.3         40.7                               
10:10:17       4218.9         42.3                               
10:10:19       4221.6         41.5                               
10:10:22       4224.3         41.1                               
10:10:25       4227.0         40.9                               
10:10:27       4229.7         41.0                               
10:10:30       4232.3         41.0                               
10:10:33       4235.0         41.0                               
10:10:35       4237.7         41.0                               
10:10:38       4240.3         41.0                               
10:10:41       4243.0         41.0                               
10:10:44       4245.9         41.0                               
- - - Anpassung ist abgeschlossen! - 2021-11-05 10:15:03 - - -
10:20:01       4803.5         50.0                               
10:20:04       4806.3         25.0                               
10:20:07       4809.0         37.5                               
10:20:09       4811.5         43.8                               
10:20:12       4814.1         40.7                               
10:20:14       4816.7         42.3                               
10:20:17       4819.3         41.5                               
10:20:20       4821.9         41.9                               
10:20:22       4824.4         41.7                               
10:20:25       4827.0         41.6                               
10:20:27       4829.6         41.6                               
10:20:30       4832.2         41.6                               
10:20:32       4834.8         41.6                               
10:20:35       4837.4         41.6                               
10:20:38       4840.1         41.6                               
10:20:41       4842.8         41.6                               
- - - Anpassung ist abgeschlossen! - 2021-11-05 10:25:02 - - -
10:30:41       5443.5         50.0                               
10:30:44       5446.2         25.0                               
10:30:47       5448.9         37.5                               
10:30:49       5451.5         43.8                               
10:30:52       5454.2         40.7                               
10:30:55       5456.8         39.1                               
10:30:57       5459.5         38.3                               
10:31:00       5462.1         38.7                               
10:31:02       5464.7         38.5                               
10:31:05       5467.4         38.4                               
10:31:08       5470.0         38.4                               
10:31:10       5472.6         38.4                               
10:31:13       5475.2         38.4                               
10:31:16       5477.8         38.4                               
10:31:18       5480.5         38.4                               
10:31:21       5483.1         38.4                               
- - - Anpassung ist abgeschlossen! - 2021-11-05 10:35:04 - - -
10:45:03       6305.1         50.0                               
10:45:05       6307.8         25.0                               
10:45:08       6310.5         37.5                               
10:45:11       6313.2         43.8                               
10:45:13       6315.8         46.9                               
10:45:16       6318.4         48.5                               
10:45:19       6321.1         47.7                               
10:45:21       6323.7         47.3                               
10:45:24       6326.4         47.1                               
10:45:27       6329.0         47.0                               
10:45:29       6331.7         47.0                               
10:45:32       6334.3         47.0                               
10:45:35       6336.9         47.0                               
10:45:37       6339.6         47.0                               
10:45:40       6342.4         47.0                               
10:45:43       6345.0         47.0                               
- - - Anpassung ist abgeschlossen! - 2021-11-05 10:50:01 - - -
11:00:02       7204.5         50.0                               
11:00:05       7207.2         75.0                               
11:00:08       7210.0         62.5                               
11:00:10       7212.7         56.2                               
11:00:13       7215.4         53.1                               
11:00:16       7218.1         51.5                               
11:00:18       7220.7         52.3                               
11:00:21       7223.4         51.9                               
